"id","category","unit","store","item","size","per_unit","type","flags"
"artichoke-hearts","Canned & Soup","oz","Hy-Vee","Hy-Vee Quartered Artichoke Hearts","14 oz","0.2493","everyday","no-link"
"artichoke-hearts","Canned & Soup","oz","Family Fare","Del Monte Quartered Artichoke Hearts 14 Oz","14 oz","0.285","everyday","no-link"
"balsamic-vinegar","Sauces & Condiments","floz","Aldi","Priano Balsamic Vinegar","16.9 fl oz","0.1769","everyday",""
"balsamic-vinegar","Sauces & Condiments","floz","Hy-Vee","Nothing But The Truth Organic Balsamic Vinegar","16.9 fl oz","0.2361","everyday",""
"balsamic-vinegar","Sauces & Condiments","floz","Family Fare","Monari Federzoni Balsamic Vinegar Of Modena 16.9 Fl Oz","16.9 fl oz","0.4136","everyday",""
"banana-peppers","Sauces & Condiments","oz","Family Fare","Our Family Mild Banana Pepper Rings 16 Fl Oz","16 fl oz","0.2056","everyday","no-link"
"banana-peppers","Sauces & Condiments","oz","Hy-Vee","Vlasic Hot Banana Pepper Rings, 12 fl. oz.","12 fl oz","0.2492","everyday","no-link"
"black-olives","Canned & Soup","oz","Hy-Vee","That's Smart! Large Pitted Ripe Olives","6 oz","0.3283","everyday","no-link"
"blue-cheese-dressing","Sauces & Condiments","floz","Hy-Vee","Hy-Vee Blue Cheese Dressing","16 fl oz","0.1612","everyday","no-link"
"blue-cheese-dressing","Sauces & Condiments","floz","Family Fare","Our Family Blue Cheese Dressing 16 Fl Oz","16 fl oz","0.1744","everyday","no-link"
"bouillon","Canned & Soup","oz","Hy-Vee","Knorr Chicken Flavor Bouillon Granulated","7.9 oz","0.6316","everyday","no-link"
"bouillon","Canned & Soup","oz","Family Fare","Our Family Bouillon Cubes, Chicken Flavor, Instant 3.25 Oz","3.25 oz","1.1969","everyday","no-link"
"caesar-dressing","Sauces & Condiments","floz","Hy-Vee","Hy-Vee Creamy Caesar Salad Dressing","16 fl oz","0.1612","everyday","no-link"
"caesar-dressing","Sauces & Condiments","floz","Family Fare","Our Family Creamy Caesar Dressing 16 Fl Oz","16 fl oz","0.1744","everyday","no-link"
"beef-stew","Canned & Soup","oz","Hy-Vee","Dinty Moore Beef Stew","38 oz","0.1839","everyday","no-link"
"canned-beets","Canned & Soup","oz","Hy-Vee","Hy-Vee Diced Beets","15 oz","0.1193","everyday","no-link"
"coconut-milk-canned","Canned & Soup","floz","Hy-Vee","Nuoc Cot Dua Coconut Milk","13.5 fl oz","0.2215","everyday","no-link"
"canned-green-chilies","Canned & Soup","oz","Family Fare","Our Family Green Chiles, Mild, Diced 4 Oz","4 oz","0.2975","everyday","no-link"
"canned-green-chilies","Canned & Soup","oz","Hy-Vee","Hy-Vee Mild Green Chiles Diced","7 oz","0.3557","everyday","no-link"
"hominy","Canned & Soup","oz","Hy-Vee","Bush's Best Golden Hominy 15.5 oz","15.5 oz","0.1219","everyday",""
"canned-pears","Canned & Soup","oz","Hy-Vee","That's Smart! In Light Syrup Bartlett Bartlett Pear Halves 29 oz","29 oz","0.0959","everyday","no-link"
"canned-potatoes","Canned & Soup","oz","Hy-Vee","That's Smart Whole White Potatoes","15 oz","0.064","everyday","no-link"
"canned-white-beans","Canned & Soup","oz","Aldi","Dakota's Pride Cannellini Beans","15.5 oz","0.0548","everyday","no-link"
"canned-white-beans","Canned & Soup","oz","Hy-Vee","Hy-Vee Cannellini Beans","15.5 oz","0.0639","everyday","no-link"
"canned-yams","Canned & Soup","oz","Hy-Vee","Dunbar's Nature's Pride Cut Sweet Potatoes","40 oz","0.1248","everyday","no-link"
"canned-yams","Canned & Soup","oz","Family Fare","Bruce's Sweet Potatoes, In Syrup, Cut, Yams 40 Oz","40 oz","0.1248","everyday","no-link"
"chili-beans","Canned & Soup","oz","Hy-Vee","Hy-Vee Chili Style Beans in Chili Gravy","15.5 oz","0.0568","everyday","no-link"
"chili-beans","Canned & Soup","oz","Family Fare","Brooks Chili Beans, Hot 40 Oz","40 oz","0.0798","everyday","no-link"
"clam-chowder","Canned & Soup","oz","Hy-Vee","Progresso Reduced Sodium, New England Clam Chowder","18.5 oz","0.1941","everyday","no-link"
"corned-beef-hash","Canned & Soup","oz","Family Fare","Our Family Corned Beef Hash","15 oz","0.2193","everyday","no-link"
"corned-beef-hash","Canned & Soup","oz","Hy-Vee","Hormel Mary Kitchen Homestyle Corned Beef Hash","25 oz","0.2796","everyday","no-link"
"tomatoes-green-chilies","Canned & Soup","oz","Family Fare","Our Family Tomatoes, With Green Chiles, Diced 14.5 Oz","14.5 oz","0.0683","everyday","no-link"
"tomatoes-green-chilies","Canned & Soup","oz","Hy-Vee","Hy-Vee Diced Tomatoes with Green Chilies","14.5 oz","0.0821","everyday","no-link"
"tomatoes-green-chilies","Canned & Soup","oz","Aldi","Casa Mamita Diced Tomatoes with Green Chilies","10 oz","0.095","everyday","no-link"
"dijon-mustard","Sauces & Condiments","oz","Aldi","Burman's Dijon Mustard","12 oz","0.1242","everyday",""
"dijon-mustard","Sauces & Condiments","oz","Family Fare","Our Family Mustard, Dijon 12 Oz","12 oz","0.1825","everyday",""
"dijon-mustard","Sauces & Condiments","oz","Hy-Vee","Hy-Vee Stone Ground Dijon Mustard","12 oz","0.2075","everyday",""
"green-olives","Sauces & Condiments","oz","Aldi","Tuscan Garden Manzanilla Olives","10 oz","0.229","everyday","no-link"
"green-olives","Sauces & Condiments","oz","Hy-Vee","FreeStyle Snacks Original Green Olives","4 oz","1.4975","everyday","no-link"
"honey-mustard","Sauces & Condiments","oz","Hy-Vee","Hy-Vee Honey Mustard Dressing","16 fl oz","0.1612","everyday","no-link"
"honey-mustard","Sauces & Condiments","oz","Family Fare","Ken's Steak House Honey Mustard Dressing, Topping & Spread 24 Fl Oz","24 fl oz","0.2288","everyday","no-link"
