id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
rotisserie-chicken,Rotisserie Chicken,each,5.99,,,,5.99,,,,,,7.99,,,,7.99,8.99,,,,8.99,8.99,,,,8.99,4.98,,,,4.98,5.97,,,,5.97
pork-tenderloin,Pork Tenderloin,lb,4.99,3.88,2026-08-31,2026-09-27,3.88,3.59,,,,3.59,5.49,,,,5.49,3.99,,,,3.99,,,,,,2.98,,,,2.98,3.9707,4.4398,2026-08-31,2026-09-30,3.9707
corn-dogs,Corn Dogs (frozen),each,0.8067,,,,0.8067,,,,,,0.6244,,,,0.6244,1.3725,,,,1.3725,0.4994,,,,0.4994,0.449,,,,0.449,0.4356,,,,0.4356
egg-noodles,Egg Noodles,oz,0.2056,,,,0.2056,0.1088,,,,0.1088,0.1825,,,,0.1825,,,,,,0.1244,,,,0.1244,0.1425,,,,0.1425,0.1088,,,,0.1088
cranberry-sauce,Cranberry Sauce (canned),oz,0.1271,,,,0.1271,,,,,,0.1993,,,,0.1993,0.1914,0.1771,2026-08-11,2026-09-10,0.1771,0.1421,,,,0.1421,0.1426,,,,0.1426,0.1186,,,,0.1186
cotton-swabs,Cotton Swabs,each,0.0133,,,,0.0133,0.0043,,,,0.0043,0.0056,,,,0.0056,0.0205,0.0146,2026-08-11,2026-09-10,0.0146,0.0047,,,,0.0047,0.0053,,,,0.0053,0.0033,,,,0.0033
pineapple,Pineapple (whole),each,3.99,,,,3.99,1.89,,,,1.89,,,,,,2.12,1.68,,,1.68,,,,,,2.97,,,,2.97,1.98,1.88,2026-09-05,2026-10-05,1.88
toilet-paper,Toilet Paper,each,0.7492,0.5825,2026-08-31,2026-09-06,0.5825,,,,,,0.8121,,,,0.8121,0.7483,0.4975,2026-08-31,2026-09-30,0.4975,0.5658,0.5408,2026-07-22,2026-09-16,0.5408,0.5502,,,,0.5502,0.9725,,,,0.9725
plastic-wrap,Plastic Wrap,each,2.99,,,,2.99,,,,,,2.79,,,,2.79,2.99,2.68,2026-08-11,2026-09-10,2.68,2.29,,,,2.29,3.49,,,,3.49,2.14,,,,2.14
frozen-cauliflower-rice,Frozen Cauliflower Rice,oz,,,,,,0.1492,,,,0.1492,,,,,,,,,,,,,,,,,,,,,0.1867,,,,0.1867
butternut-squash,Butternut Squash,lb,1.492,,,,1.492,1.29,,,,1.29,1.99,,,,1.99,1.49,,,,1.49,1.49,,,,1.49,,,,,,1.54,,,,1.54
baby-potatoes,Baby Potatoes,lb,,,,,,2.1933,,,,2.1933,3.3267,,,,3.3267,1.6633,0.9967,2026-08-09,2026-09-08,0.9967,2,,,,2,,,,,,2.52,,,,2.52
almond-flour,Almond Flour,lb,,,,,,6.65,,,,6.65,9.99,,,,9.99,,,,,,7.49,,,,7.49,,,,,,5.4925,,,,5.4925
gelatin,Gelatin (Jell-O),each,0.99,,,,0.99,0.98,,,,0.98,,,,,,,2.47,2026-08-20,2026-09-19,2.47,,,,,,,,,,,0.92,,,,0.92
parchment-paper,Parchment Paper,each,,,,,,,,,,,3.29,,,,3.29,3.99,2.99,2026-08-11,2026-09-10,2.99,3.99,,,,3.99,7.76,,,,7.76,2.96,,,,2.96
canned-white-beans,Canned White Beans (Great Northern / Cannellini / Navy),oz,0.0639,,,,0.0639,0.0548,,,,0.0548,0.1413,,,,0.1413,0.0865,0.0639,2026-08-09,2026-09-08,0.0639,0.0645,,,,0.0645,,,,,,0.0594,,,,0.0594
vegetable-broth,Vegetable Broth / Stock,floz,0.0788,,,,0.0788,0.0528,,,,0.0528,0.0809,,,,0.0809,0.1091,0.0775,2026-08-11,2026-09-10,0.0775,0.0497,,,,0.0497,,,,,,0.0469,,,,0.0469
