# BLIND verification worklist for the 2026-08-15 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-08-15.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"833EF9A3A4",1,"Frozen Meatballs","oz","Walmart",wrong-product,"Great Value Italian Style Meatballs, Family Size, 80 oz (Frozen)","0.234","80 oz bag $18.72; PDP 23.4c/oz; next: GV Homestyle 48 oz $11.47 = 0.239"
"AE1B50B20D",2,"Basil (fresh)","oz","Walmart",ok,"Fresh Basil, 1.5 oz Clamshell","2.42","1.5 oz clamshell $3.63; PDP $2.42/oz; only other fresh is 0.5 oz $1.78 = 3.56. Dried/paste excluded"
"96E97F53C7",3,"Canned Mandarin Oranges","oz","Sam's Club",ok,"Member's Mark Mandarin Oranges, 4 oz., 24 ct.","0.1196","24 x 4 oz = 96 oz jarcup pack $11.48; site unit price $0.12/oz confirms 96 oz. No #10 can of mandarins stocked."
"1436D3FA11",4,"Russet Potatoes","lb","Aldi",ok,"Russet Potatoes, 10 lb bag","0.409","10 lb $4.09 in-store (PDP unit line $0.03/oz); OLA 48 Omaha In-Store mode; card+PDP say OUT OF STOCK today but catalog price is live. Next cheapest russet: Farmer's Promise Baking Potatoes (Cal-Ore) 5 lb $3.19 = 0.638/lb, also OOS"
"D34AFEE73D",5,"Sweet Potatoes","lb","Family Fare",ok,"Red/Orangy Red Flesh Sweet Potato/Yam/Kumara, Small (bulk, sold by lb)","1.79","sold by weight, $1.79/lb in-store; only other sweet potato/yam is Organic Yams Red Small $2.79/lb; Express Bake Sweet Potat Oh! 8 oz $1.49 = $2.98/lb"
"CA8949A94C",6,"Tortillas (flour)","each","Sam's Club",ok,"Mission 6"" Fajita Flour Tortillas, 40 ct.","0.123","40 ct $4.92 = $0.123/ea (site $0.09/oz). Next cheapest flour: Mission Soft Flour Taco 40 ct $5.68 = $0.142/ea; La Banderita 9in 24 ct $4.18 = $0.174/ea; Mission 10in Burrito 40 ct $8.98 = $0.2245/ea"
"B93CB13173",7,"Cod Fillets","lb","Baker's",ok,"Pacific Cod Fillet Wild Caught (sustainably sourced), sold by lb","6.99","soldBy=WEIGHT size 1 lb $6.99/lb; next best Kroger Wild Caught Pacific Cod Fillets Frozen 32 oz $15.99 promo = $8.00/lb"
"57D02430AE",8,"Turnips","lb","Walmart",ok,"Fresh Whole Turnip Root 1 lb Bag, Fresh Produce","2.42","1 lb bag $2.42; PDP 15.1c/oz = $2.42/lb; only fresh turnip root Walmart carries"
"B5CABEB3D3",9,"Fresh Parsley (bunch)","each","Fareway",ok,"Curly Parsley, 1 ct bunch (fresh)","1.49","1 ct bunch $1.49 in-store; everyday, no strikethrough. Next cheapest fresh parsley = Crazy Fresh Italian Parsley 1 each $2.99. In-store mode."
"2AC4B8BABB",10,"Oats / Oatmeal","oz","Sam's Club",ok,"Quaker Old Fashioned Oats, 160 oz.","0.04988","160 oz canister $7.98; site $0.05/oz. Quaker Quick 1-Minute 160 oz same price."
"54AAA4EFB7",11,"Drain Cleaner","floz","Walmart",ok,"Mister Plumber 32oz Drain Opener","0.0428","32 fl oz $1.37; PDP 4.3c/fl oz; seller Walmart.com IN_STOCK; next GV Drain Clog Remover 80 fl oz $5.77 = 0.072"
"4CF9F07047",12,"Allspice (ground)","oz","Walmart",ok,"Great Value Ground Allspice, 2 oz","1.06","2 oz jar $2.12; PDP $1.06/oz"
"D8A491772F",13,"Pears","lb","Sam's Club",ok,"Bartlett Pears, 4 lbs.","1.6675","4 lb bag $6.67; site $1.67/lb. Only fresh pear stocked."
"E744348E6B",14,"Cucumbers","each","Aldi",ok,"Cucumber, each (1 each)","0.75","1 each $0.75 in-store; Seedless/English cucumber ea $0.95 is dearer"
