"ticket","found_product","found_price","found_pack","availability","reachable","note"
"1436D3FA11","Russet Potatoes, 10 lb bag","0.409","","sold","yes","10 lb $4.09 in-store (PDP unit line $0.03/oz); OLA 48 Omaha In-Store mode; card+PDP say OUT OF STOCK today but catalog price is live. Next cheapest russet: Farmer's Promise Baking Potatoes (Cal-Ore) 5 lb $3.19 = 0.638/lb, also OOS"
"E744348E6B","Cucumber, each (1 each)","0.75","","sold","yes","1 each $0.75 in-store; Seedless/English cucumber ea $0.95 is dearer"
"1EFEF1909D","Stonemill Sea Salt Grinder, 3.53 oz","0.4504","","sold","yes","3.53 oz $1.59 in-store; only true SEA salt SKU at this store. Stonemill Iodized Salt 26 oz $0.79 is table salt, not sea salt, so excluded"
"8C49B5B303","Burman's Whipped Dressing, 30 fl oz","0.0963","","sold","yes","30 fl oz $2.89 in-store (PDP unit line $0.10/fl oz); Kraft Miracle Whip 30 fl oz $5.48 = 0.1827/oz is the name brand"
"0A21DE5389","Gala Apples, 3 lb bag","0.9967","","sold","yes","3 lb $2.99 in-store (PDP unit line $0.06/oz); Red Delicious 3 lb $3.49, Granny Smith 3 lb $3.99, loose Envy $1.89/lb"
"0F44D91FC3","Dayka & Hackett Plums, 2 lb bag","1.895","","sold","yes","2 lb $3.79 in-store; only plum SKU carried"
"33A9FF7FF2","Maruchan Ramen Noodle Soup Chicken Flavor, 12 x 3 oz","0.3208","","sold","yes","12 pack $3.85 in-store = 0.3208 per packet; Maruchan Beef 12 x 3 oz $3.95; single Nissin 3.32 oz $1.45; no store-brand single packet carried"
"57ED48BF5D","Heart To Tail Special Medley Dry Cat Food, 3.15 lb","1.1714","","sold","yes","3.15 lb $3.69 in-store; Indoor Formula 3.15 lb $3.69 ties; no larger bag carried at OLA 48"
"10A9818586","Season's Choice Hash Brown Patties, 20 ct / 43.33 oz","0.1152","","sold","yes","43.33 oz $4.99 in-store (PDP unit line $0.12/oz); shredded hash browns 30 oz $3.69 = 0.123/oz is the next cheapest form"
"15E93EF3B5","Shout Original Laundry Stain Remover, 22 fl oz","0.1541","","sold","yes","22 fl oz $3.39 in-store (PDP unit line $0.15/fl oz); Shout Dye & Fragrance Free 22 fl oz same price; no Tandil store-brand stain remover carried"
"2939C7DC24","Sweet Harvest Mandarin Oranges in Light Syrup, 15 oz","0.0993","","sold","yes","15 oz $1.49 in-store; Lunch Buddies 4 x 4 oz cups $2.19 = 0.1369/oz is dearer"
"F178012094","","","","not-sold","yes","No fresh cherries in the OLA 48 catalog on 2026-08-16 (searched cherries / sweet cherries / cherry; only Baker's Corner cherry pie filling 21 oz $2.89 and a lunchbox cherry pie). Seasonal item, out of season. In-store mode"
"D9AE20B461","Friendly Farms Original Unsweetened Almondmilk, 64 fl oz","0.0358","","sold","yes","64 fl oz $2.29 in-store (PDP unit line $0.04/fl oz); all Friendly Farms 64 fl oz variants $2.29"
"37C7EE81E1","Nectarines, 2 lb bag","1.745","","sold","yes","2 lb $3.49 in-store (PDP unit line $0.11/oz); JSON-LD size field wrongly says 1 lb, the PDP body and slug both say 2 lb"
"6CF02A8969","Tuscan Garden Large Ripe Pitted Black Olives, 6 oz","0.265","","sold","yes","6 oz $1.59 in-store (PDP unit line $0.26/oz), flagged Price Drop Ends Soon; regular price $1.75 = 0.2917/oz"
"1B4DB8A431","Watermelon, each (whole seedless)","4.65","","sold","yes","1 each $4.65 in-store"
"CD84D60C6E","Season's Choice Steamable Frozen Mixed Vegetable, 12 oz","0.0817","","sold","yes","12 oz $0.98 in-store (PDP unit line $0.08/oz); California Medley 12 oz $1.15, Simply Nature Organic 10 oz $1.69"
"B93CB13173","Pacific Cod Fillet Wild Caught (sustainably sourced), sold by lb","6.99","","sold","yes","soldBy=WEIGHT size 1 lb $6.99/lb; next best Kroger Wild Caught Pacific Cod Fillets Frozen 32 oz $15.99 promo = $8.00/lb"
"15EFB5EF5C","Tampico Oregano Ground, 1 oz","1.69","","sold","yes","1 oz jar $1.69 = $1.69/oz; near-tie runner-up Kroger Oregano Leaves Shaker 1.94 oz $3.29 = $1.696/oz; Smart Way 0.63 oz $1.25 = $1.98/oz"
"DCA476E0D0","Simple Truth Organic Sage (fresh herb clamshell), 0.5 oz","4.98","","sold","yes","0.5 oz $2.49 = $4.98/oz; only fresh sage carried at this store (all other sage results are dried rubbed/ground spice or non-food)"
"6BDD32FA1A","Kroger Select Thin Cut Boneless Ribeye Beef Steak Family Pack","17.99","","sold","yes","soldBy=WEIGHT size 1 lb $17.99/lb; Kroger Select Boneless Ribeye $18.99/lb, Choice Boneless Family Pack $20.99/lb promo"
"48FDA14605","Comforts Stage 2 Baby Food Puree Pouches Variety Pack, 12 ct / 4 oz","0.1873","","sold","yes","12 x 4 oz = 48 oz $8.99 = $0.1873/oz; single Comforts 4 oz pouch $0.90 = $0.225/oz"
"67ADE8C845","Smart Way Cajun Seasoning, 3.88 oz","0.3222","","sold","yes","3.88 oz $1.25 = $0.322/oz; Louisiana Fish Fry Original Cajun 8 oz $2.99 = $0.374/oz; Tony Chachere's Creole 8 oz $3.59 = $0.449/oz"
"D7CA3B4583","Kroger Frozen Fully Cooked Crispy Chicken Nuggets, 64 oz","0.1717","","sold","yes","64 oz $10.99 promo (regular $11.99) = $0.1717/oz; Kroger 29 oz $5.99 = $0.207/oz"
"9C18B9389D","Kroger Canned Pear Slices in Extra Light Syrup, 15 oz","0.126","","sold","yes","15 oz $1.89 = $0.126/oz; Kroger 14.5 oz $1.89 = $0.130/oz; Del Monte 29 oz $4.29 = $0.148/oz"
"0D3315AAB0","Suave Essentials Body Wash (Cocoa Butter & Shea / Ocean Breeze / Milk & Honey), 18 fl oz","0.1828","","sold","yes","18 fl oz $3.29 = $0.1828/fl oz; Kroger Sensitive Skin 33.8 fl oz $6.49 = $0.192/fl oz. Excluded Kroger Soapy Safari kids 3-in-1 shampoo+conditioner+body wash 22.5 fl oz $2.99 = $0.133/fl oz as a combo product, not plain body wash"
"AFF15BDD96","Fresh Jalapeno Peppers (bulk produce)","1.99","","sold","yes","soldBy=WEIGHT size 1 lb $1.99/lb; all other jalapeno hits are pickled/canned or non-produce"
"C1E857FDBE","Kroger Traditional Favorites Frozen Broccoli Cuts, 32 oz","0.0997","","sold","yes","32 oz $3.19 = $0.0997/oz; Kroger 12 oz $1.29 = $0.1075/oz; Birds Eye Florets 52 oz $8.49 = $0.163/oz"
"D34AFEE73D","Red/Orangy Red Flesh Sweet Potato/Yam/Kumara, Small (bulk, sold by lb)","1.79","","sold","yes","sold by weight, $1.79/lb in-store; only other sweet potato/yam is Organic Yams Red Small $2.79/lb; Express Bake Sweet Potat Oh! 8 oz $1.49 = $2.98/lb"
"A9F117D926","Our Family Mandarin Oranges in 100% Juice, 4-cup pack (ties: Our Family Diced Peaches / Mixed Fruit / Tropical Fruit / Pineapple Tidbits 4-packs)","0.7475","","sold","yes","4-cup pack $2.99 in-store = $0.7475 per cup; cheapest 12-ct family packs are $12.99 = $1.08/cup; Del Monte/Dole 4-packs $3.99-$4.19"
"B08B4E7CA2","Ellsworth Cooperative Creamery Ranch Cheddar Cheese Curds 5 oz (tie: Ellsworth Cheddar Garlic Cheese Curds 5 oz)","0.698","","sold","yes","5 oz $3.49 in-store; these are the ONLY cheese curds in the Family Fare 6401 catalog and both are flavored cheddar curds - no plain cheddar curd listed"
