"ticket","why","commodity","store","board_item","board_per_unit","found_product","found_price","found_pack","ratio","note","verdict"
"E3B5EDA8C5","review-price","Food Storage Bags (quart)","Aldi","Boulder Quart Storage Twin Lock Bags 50 CT","0.0438","Boulder Quart Slider Storage Bags, 40 ct","0.0648","$2.59 / 40 ct","1.479","In-Store mode. Basis = per bag. Cheapest QUART storage bag; Boulder Quart Slider FREEZER Bags are also $2.59 but only 35 ct = $0.0740 each (freezer, different item anyway). Gallon and sandwich sizes excluded as wrong size. This store stocks no plain zipper (non-slider) quart bag online, so 40 ct slider is the only quart storage option. URL: https://www.aldi.us/store/aldi/products/ (slug: boulder-quart-slider-storage-bags)",""
"2DF21A11AF","review-price","Cottage Cheese","Baker's","Kroger 4% Milkfat Large Curd Cottage Cheese","0.1042","Kroger(R) 4% Milkfat Small Curd Cottage Cheese BIG DEAL! - 48 oz","0.1206","$5.79 / 48 oz","1.157","REGULAR price, no promo on this SKU. ""BIG DEAL!"" is Kroger's large-pack line name, not a temporary promo. Next best per oz: Kroger 24 oz $3.19 = $0.1329/oz (that one had a $2.50 promo which I did NOT use); Kroger 16 oz $2.59 = $0.1619/oz. Ricotta hits were excluded as not cottage cheese. https://www.bakersplus.com/p/kroger-4-milkfat-small-curd-cottage-cheese-big-deal-/0001111044217",""
"6B90307BAD","review-price","Coffee (ground/beans)","Baker's","Kroger Classic Blend Medium Roast Ground Coffee","0.4824","Kroger(R) Original Medium Roast Ground Coffee - 29 oz","0.4997","$14.49 / 29 oz","1.036","REGULAR shelf price $14.49; a $13.99 promo was live on this SKU and was NOT used. Cheapest per oz across ground and whole-bean at this store. Comparables: Kroger Classic Blend 29 oz $14.49 same rate; Maxwell House 27.5 oz $15.49 = $0.5633/oz; Folgers 40.3 oz $23.99 = $0.5953/oz; Kroger 24 oz $14.49 = $0.6038/oz; Kroger 11 oz $6.99 = $0.6355/oz. No Smart Way ground coffee exists (only Smart Way Instant, excluded). K-Cup pods excluded. https://www.bakersplus.com/p/kroger-original-medium-roast-ground-coffee/0001111015000",""
"27C1EC1E18","review-price","Taco Seasoning (packet)","Family Fare","Mc Cormick Mild Taco Seasoning Mix 8.5 Oz","0.9753","Our Family Seasoning Mix, Taco 1.25 Oz","0.7920","$0.99 / 1.25 oz","0.812","Cheapest true PACKET. Tied on shelf price with Taco Bell Original Taco 1 Oz $0.99 but that is $0.99/oz. Excluded taco dinner kits. NOTE: a non-packet 6 oz Our Family taco seasoning pouch exists at $3.49 = $0.5817/oz, cheaper per oz but not a packet, so not used. https://www.shopfamilyfare.com/shop/pantry/mixes_spices_seasoning/mixes_for_meats/our_family_seasoning_mix_taco_1_25_oz/p/6787111",""
"6493413440","review-price","Sun-Dried Tomatoes","Family Fare","California Sun Dry Julienne Cut Sun Dried Tomatoes 3 Oz","1.3300","Alessi Tomatoes, Sun Dried, Julienne Cut 7 Oz","0.7557","$5.29 / 7 oz","0.568","Only 3 real sun-dried-tomato SKUs carried. Alessi Sun Dried in Extra Virgin Olive Oil 7 Oz is the same $5.29 (oil-packed, so I cited the dry julienne pack). California Sun Dry Julienne 3 Oz is $3.99 = $1.3300/oz. Excluded sun-dried-tomato dip, sausage and crackers. https://www.shopfamilyfare.com/shop/pantry/canned_goods/tomatoes/alessi_tomatoes_sun_dried_julienne_cut_7_oz/p/528394",""
"B106317542","review-price","Sloppy Joe Sauce (Manwich style)","Family Fare","Manwich Sloppy Joe Sauce, Bold 16 Oz","0.1056","Sloppy Joe Sauce Our Family 15 Oz","0.0927","$1.39 / 15 oz","0.878","Store private label beats Manwich on every size: Manwich Original 15 Oz $1.69 = $0.1127/oz and Manwich 24 Oz $2.79 = $0.1163/oz. Excluded dry sloppy joe seasoning mixes. https://www.shopfamilyfare.com/shop/pantry/condiments_dressing/other_sauce/sloppy_joe_sauce_our_family/p/6787011",""
"9E4EE82B63","review-price","Red Pepper Flakes","Hy-Vee","That's Smart! Crushed Red Pepper","0.2050","That's Smart! Crushed Red Pepper 2 oz","0.6250","$1.25 / 2 oz","3.049","REGULAR price used per price-mode rule: GraphQL basePrice 1.25 / basePriceMultiple 1 = $1.25 each. The item is CURRENTLY ON SALE (onSale true, price 1.25 with priceMultiple 3; the search API tag price is $1.00) - the whole That's Smart! spice line is running a 3/$3 promo right now, so the shelf tag today reads $1.00 = 0.5000/oz. Board should carry 0.6250/oz if it publishes regular, 0.5000/oz if it followed the promo. Next cheapest genuine crushed red pepper: Hy-Vee Crushed Red Pepper 1.5 oz $2.99 = 1.9933/oz (regular) - a 3x gap, so the winner is not in doubt, only its price mode. https://www.hy-vee.com/aisles-online/p/3225646",""
"C75E652E97","review-price","Shrimp (frozen, raw)","Hy-Vee","Fish Market Raw Shrimp 41/50 Count","5.3200","Hy-Vee Fish Market Raw Shrimp 51-60 Count, Raw Shell-On, 16 oz","9.9900","$9.99 / 1 lb","1.878","REGULAR price (9.99 = basePrice, onSale false, department Frozen/Frozen Meat & Seafood/Frozen Seafood & Fish). Three-way tie at $9.99/lb regular: this one (28267), Fish Market Raw Shrimp 26-30 Count 16 oz (61423), and Paul Piazza Wild Caught Gulf Shrimp Peeled & Deveined 40-50 Count 16 oz (809910) - the Paul Piazza is peeled/deveined at the same price, so it is the better buy at an identical per-lb number. WATCH OUT: Hy-Vee Fish Market Raw Shrimp 41/50 Count 12 oz shows $5.99 (= $7.99/lb) but that is a SALE; its regular basePrice is $7.99/12 oz = $10.65/lb. E-Z Peel White 8-12 Ct 16 oz also shows a $9.99 sale against a $12.99 regular. Excluded cooked, breaded and platter shrimp. https://www.hy-vee.com/aisles-online/p/28267",""
"58BBF9AD08","review-price","Toilet Bowl Cleaner","Hy-Vee","Lysol Power Toilet Bowl Cleaner","0.1538","The Works Toilet Bowl Cleaner 1 qt (32 fl oz)","0.1059","$3.39 / 32 fl oz","0.689","REGULAR price (GraphQL storeProducts storeId 1465: price 3.39 = basePrice 3.39, onSale false). Cheapest liquid toilet bowl cleaner at Omaha #1. No Hy-Vee or That's Smart! own-brand toilet bowl cleaner exists in the catalog. Next cheapest is the 24 fl oz tier at $3.69 (Clorox / Lysol, 0.1538/floz). Excluded: tablets/discs/stamps (2000 Flushes, Scrubbing Bubbles gel stamps, Soft Scrub cubes) - sold by net weight oz, not a pourable floz cleaner - and all brushes/wands. https://www.hy-vee.com/aisles-online/p/22816",""
"140414F657","review-price","Vanilla Extract","Sam's Club","McCormick Pure Vanilla Extract, 8 fl. oz.","1.3100","Rising Star Baking Supply Pure Vanilla Extract, 8 fl. oz.","1.1225","$8.98 / 8 fl oz","0.857","Club price, pickup available, no promo. CLOSE CALL: McCormick IMITATION Vanilla Flavor 32 fl oz $6.22 = $0.1944/floz is far cheaper but is imitation flavor, not extract, so it is excluded. Cheapest true extract; McCormick Pure Vanilla Extract 8 fl oz is $10.48 = $1.3100/floz. https://www.samsclub.com/ip/19278167549",""
