ticket,verdict
265B906871,ok
1500C77577,ok
9648FF4AB4,ok
43324A670C,ok
0A882B45BA,ok
A49493444F,ok
3A9056BEA0,ok
D5A9A2196C,ok
925A4CBA17,ok
C34080E010,ok
E4EC03AF75,wrong-product
F636D6148D,wrong-product
21C5886348,wrong-product
19280F64D4,wrong-size
292F637043,wrong-size
FDB0AF3391,wrong-size
5524A1F02D,wrong-price
0DDDBB81DC,wrong-price
F4026DCED9,wrong-price
32EFE19EE3,wrong-price
AFD617B577,wrong-price
21244C5ABC,wrong-price
09F02D24D9,wrong-price
812F50C382,wrong-price
961B81AE7B,wrong-price
51E6677F49,wrong-price
7D1660DB84,wrong-price
D864EC63BA,wrong-price
606885B103,wrong-price
C411FA437F,wrong-price
35057B57A5,wrong-price
B2FF0F2129,wrong-price
4FDF8E9FD6,wrong-price
273DD2B2B8,wrong-price
E3DD5388AD,wrong-price
5EE49EC63C,wrong-price
40F00907A9,wrong-price
B3247E92CE,wrong-price
94EC5372FE,wrong-price
BD5AD9D8DA,wrong-price
1108F70446,wrong-price
