"ticket","why","commodity","store","board_item","board_per_unit","found_product","found_price","found_pack","ratio","note","verdict"
"2939C7DC24","review-price","Canned Mandarin Oranges","Aldi","Mandarin Oranges","0.0706","Sweet Harvest Mandarin Oranges in Light Syrup, 15 oz","0.0993","","1.407","15 oz $1.49 in-store; Lunch Buddies 4 x 4 oz cups $2.19 = 0.1369/oz is dearer",""
"C1E857FDBE","review-price","Frozen Broccoli","Baker's","Kroger Frozen Broccoli Florets","0.1325","Kroger Traditional Favorites Frozen Broccoli Cuts, 32 oz","0.0997","","0.752","32 oz $3.19 = $0.0997/oz; Kroger 12 oz $1.29 = $0.1075/oz; Birds Eye Florets 52 oz $8.49 = $0.163/oz",""
"EDF8BA23ED","review-price","Lemons","Fareway","Lemon","0.9900","Lemon, 1 each","0.8800","","0.889","1 each $0.88 in-store (reg $0.99, 11% off). Whole Lemons 16 oz bag $2.99 is not per-each comparable. In-store mode.",""
"02E057B7BB","review-price","Instant Mashed Potatoes","Fareway","Idahoan Value Size Mashed Potatoes","0.3325","Idahoan Original Mashed Potatoes, 26.2 oz","0.1905","","0.573","26.2 oz $4.99 in-store, everyday (no strikethrough). Next = Idahoan Original 13.75 oz $3.19 = 0.232/oz. In-store mode.",""
"1ACD58DFCD","review-price","Red Wine Vinegar","Walmart","(2 pack) Star Italian Kitchen Red Wine Vinegar 25 fl oz, Bottle","0.1192","Pompeian Red Wine Vinegar - 16 fl oz","0.1780","","1.493","16 fl oz $2.84; PDP 17.8c/fl oz; GV 12.7 fl oz $2.32 = 0.183; cheaper only as a 2-pk Star 25 fl oz $5.96 = 0.119",""
"171AFD7659","review-price","Rice Vinegar","Walmart","(6 pack) (1 pack) Mizkan Rice Vinegar, Mild and Mellow, 12 fl oz","0.2311","Mizkan Rice Vinegar for Cooking, 12 fl oz","0.2433","","1.053","12 fl oz $2.92; PDP 24.3c/fl oz; no store-brand rice vinegar; cheaper only as 6-pk $16.64 = 0.231",""
"6C3E29EBE5","review-price","Cranberry Sauce (canned)","Walmart","Great Value Jellied Cranberry Sauce 16oz","0.1038","Great Value Jellied Cranberry Sauce, 14 oz","0.1186","","1.143","14 oz can $1.66; PDP 11.9c/oz; Ocean Spray 14 oz $2.47 = 0.176",""
"3CBD682A0E","review-price","Garlic Herb Seasoning","Walmart","Grill Mates Roasted Garlic & Herb Seasoning, 2.75 oz Bottle","0.7164","Weber Roasted Garlic & Herb Seasoning, 5.5 oz","0.3636","","0.508","5.5 oz $2.00; PDP 36.4c/oz; next Grill Mates 5.64 oz $3.84 = 0.681; GV Salt-Free Garlic & Herb 2.5 oz $1.96 = 0.784",""
"39727F77A3","review-price","Hot Sauce","Walmart","La Botanera Hot Sauce 12.5 fl oz","0.1024","Trappey's Red Devil Cayenne Pepper Hot Sauce, 32 fl oz","0.0806","","0.787","32 fl oz $2.58; PDP 8.1c/fl oz item 10309588; the 12 oz sibling is $1.58 = 0.132; GV Louisiana 12 fl oz $1.56 = 0.13",""
"CD84D60C6E","review-product","Frozen Mixed Vegetables","Aldi","Happy Harvest Mixed Vegetables 15 OZ","0.0640","Season's Choice Steamable Frozen Mixed Vegetable, 12 oz","0.0817","","1.277","12 oz $0.98 in-store (PDP unit line $0.08/oz); California Medley 12 oz $1.15, Simply Nature Organic 10 oz $1.69",""
