# BLIND verification worklist for the 2026-09-02 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-09-02.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"9AAE62D69C",1,"Batteries (AA)","each","Baker's",,,,
"098718F15A",2,"Garlic-Infused Olive Oil","floz","Baker's",,,,
"6ED2276129",3,"Smoked Turkey Sausage","lb","Aldi",,,,
"337EB6674C",4,"Creamy Cilantro Lime Dressing","floz","Baker's",,,,
"E587A58745",5,"Muffins (bakery)","each","Sam's Club",,,,
"DF04499C5C",6,"Whole Chicken","lb","Walmart",,,,
"E628C1A12A",7,"All-Purpose Flour","lb","Sam's Club",,,,
"9CE2971203",8,"Japanese Curry Roux","oz","Walmart",,,,
"C7EB0803F6",9,"Toothbrushes","each","Walmart",,,,
"EE3E07A8EC",10,"Paper Plates","each","Hy-Vee",,,,
"B3CE561C40",11,"Hamburger Buns","each","Fareway",,,,
"6B11919042",12,"Food Storage Bags (gallon)","each","Aldi",,,,
"D09425AED3",13,"Corn Muffin Mix","oz","Aldi",,,,
"68B0B1019B",14,"Disinfectant Spray","oz","Baker's",,,,
"E67587C71F",15,"Frozen Mixed Vegetables","oz","Aldi",,,,
"6CA3FE6BF9",16,"Rutabagas","lb","Baker's",,,,
"7D93D09EBA",17,"Disinfectant Spray","oz","Sam's Club",,,,
"831A6EC52D",18,"Blueberries","oz","Aldi",,,,
"8CF22384FF",19,"Boneless Skinless Chicken Breast","lb","Sam's Club",,,,
"9557272897",20,"Canned Tuna","oz","Family Fare",,,,
"207AF84F57",21,"Butter","lb","Family Fare",,,,
"72CCC3027B",22,"Miracle Whip (Salad Dressing Spread)","oz","Aldi",,,,
"55B1FD59E1",23,"Apple Juice","floz","Hy-Vee",,,,
"4803B04C50",24,"Peanuts","oz","Sam's Club",,,,
"181897F6D2",25,"Orange Juice","floz","Fareway",,,,
"5A8B86EDB1",26,"Brown Gravy Mix (dry packet)","oz","Sam's Club",,,,
"54044DE3DF",27,"Almond Milk","floz","Aldi",,,,
"04DE3053A9",28,"Toilet Paper","each","Fareway",,,,
"7C11CCFB0A",29,"Frozen Waffles","each","Sam's Club",,,,
"18441029D2",30,"Bread Crumbs / Panko","oz","Sam's Club",,,,
"B289721449",31,"Pretzels","oz","Sam's Club",,,,
"B470BBF91F",32,"Razors (disposable)","each","Walmart",,,,
"3DF1456A9A",33,"Minced Garlic (jarred)","oz","Family Fare",,,,
"2291415827",34,"Sweet Potatoes","lb","Baker's",,,,
"94231F13B5",35,"Butter","lb","Fareway",,,,
"D4D7159D17",36,"Feminine Pads","each","Hy-Vee",,,,
"DD5777152C",37,"Carrots","lb","Sam's Club",,,,
"BF27133EF3",38,"Insect / Bug Spray (home)","oz","Fareway",,,,
"06641F9CC9",39,"Yellow / Sweet Onions","lb","Aldi",,,,
"D8421723A4",40,"Cotton Swabs","each","Aldi",,,,
"679B9D942E",41,"Shrimp (frozen, raw)","lb","Sam's Club",,,,
"481C675B91",42,"Sandwich Cookies","oz","Aldi",,,,
"A9289C68BE",43,"Batteries (AA)","each","Walmart",,,,
"1DC88754C1",44,"Large Eggs (dozen)","dozen","Walmart",,,,
"9B6A7A7DB4",45,"Prepared Horseradish","oz","Hy-Vee",,,,
"CA371D6EE9",46,"Chicken Noodle Soup (canned)","oz","Family Fare",,,,
"71221EFAE1",47,"Sun-Dried Tomatoes","oz","Sam's Club",,,,
"E210C58D7B",48,"All-Purpose Cleaner","floz","Walmart",,,,
"3F6F96BA4C",49,"Turkey Bacon","oz","Walmart",,,,
"317C0C3673",50,"Chili Garlic Sauce","oz","Baker's",,,,
"FD2A60461D",51,"Shredded / Block Cheese","oz","Sam's Club",,,,
"C20217889E",52,"Liquid Egg Whites","floz","Aldi",,,,
"93FAFF2DA6",53,"Ground Turkey","lb","Sam's Club",,,,
"74089E6C18",54,"Applesauce","oz","Sam's Club",,,,
"E33EFB0F8E",55,"Ribeye Steak","lb","Aldi",,,,
"163711A150",56,"Canned Asparagus","oz","Walmart",,,,
"FB664CAB72",57,"Cayenne Pepper (ground)","oz","Sam's Club",,,,
"218BB20059",58,"Chuck Roast","lb","Family Fare",,,,
"DC83F67CA6",59,"Teriyaki Sauce / Marinade","floz","Fareway",,,,
"73CF19B0AE",60,"Curry Powder","oz","Sam's Club",,,,
"3AF430A628",61,"Ground Cinnamon","oz","Aldi",,,,
"EB58D842B4",62,"Yellow Mustard","oz","Aldi",,,,
"44267CCD2D",63,"Adobo seasoning","oz","Sam's Club",,,,
"B24EC2D0CC",64,"Pita Bread","each","Sam's Club",,,,
"297654598E",65,"Worcestershire Sauce","floz","Hy-Vee",,,,
"4ECEE93FDF",66,"Yellow Bell Pepper","each","Baker's",,,,
"28C57AD65B",67,"Diced Tomatoes with Green Chilies (Ro-Tel style)","oz","Family Fare",,,,
"57DD347FA6",68,"Poultry Seasoning","oz","Walmart",,,,
"EFF7791483",69,"Honeydew Melon","each","Hy-Vee",,,,
"631E4A5B27",70,"Green Beans (fresh)","lb","Fareway",,,,
"E2575FD7C1",71,"Taco Sauce","oz","Baker's",,,,
"79EFC9C763",72,"Coriander (ground)","oz","Fareway",,,,
"6A1D006D89",73,"Sliced Cheese","oz","Aldi",,,,
"451316753C",74,"Mini Sweet Peppers","oz","Hy-Vee",,,,
"E652BB41D7",75,"Chicken Noodle Soup (canned)","oz","Hy-Vee",,,,
"0C7D61C9C8",76,"Hot Dogs","oz","Aldi",,,,
"414E95EF52",77,"Spring Mix Salad Greens","oz","Aldi",,,,
"C15A06F9FE",78,"Cream of Mushroom Soup","oz","Hy-Vee",,,,
"A58B3B718C",79,"Mini Sweet Peppers","oz","Baker's",,,,
"CD6075702B",80,"Muffins (bakery)","each","Family Fare",,,,
"54D8C0FE1B",81,"Vanilla Extract","floz","Sam's Club",,,,
"201F6B7574",82,"Pasta Sauce (marinara)","oz","Family Fare",,,,
"BDC021BFD1",83,"Cat Litter","lb","Walmart",,,,
"026D5D68AD",84,"Fennel Bulb","each","Baker's",,,,
"B93119EC7E",85,"Serrano Peppers","lb","Walmart",,,,
"27DC7BF135",86,"Protein Bars","each","Fareway",,,,
"F0682E02E4",87,"Syrup (pancake / maple)","floz","Walmart",,,,
"74B7586D7D",88,"Donuts","each","Aldi",,,,
"745E4AFD18",89,"Sports Drinks","floz","Aldi",,,,
"A8AC6C9DAA",90,"Microwave Popcorn","each","Sam's Club",,,,
"C98538BC74",91,"Insect / Bug Spray (home)","oz","Walmart",,,,
"B1C7D9328F",92,"Rice Noodles","oz","Baker's",,,,
"BA2A0F3E51",93,"Frozen Mixed Vegetables","oz","Fareway",,,,
"26DEEDB871",94,"Syrup (pancake / maple)","floz","Aldi",,,,
"F2DE7B03E7",95,"Green Beans (fresh)","lb","Walmart",,,,
"6202CD4489",96,"Diced Tomatoes with Green Chilies (Ro-Tel style)","oz","Sam's Club",,,,
"05228446C4",97,"Corn Dogs (frozen)","each","Walmart",,,,
"E95414B0C1",98,"Salsa","oz","Sam's Club",,,,
"97BD7E3BF9",99,"Baking Powder","oz","Sam's Club",,,,
"C80AF0945A",100,"80/20 Ground Beef","lb","Sam's Club",,,,
