# BLIND verification worklist for the 2026-09-17 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-09-17.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"65746DB93C",1,"Paper Napkins","each","Sam's Club",ok,"Marathon Embossed 1-Ply White Beverage Napkins, 6 pk., 3000 ct.","0.0059","3000 ct | $17.78 / 3000; club Omaha 13130 L St, pickup IN_STOCK; beverage (cocktail) size napkin. Cheapest dinner/everyday size: Member's Mark Everyday 1-Ply 4x300=1200 ct $12.84 = 0.0107/ea, pickup IN_STOCK"
"265B906871",2,"Graham Crackers","oz","Fareway",ok,"Fareway Honey Graham Crackers","0.2417","14.4 oz (3 inner packs) | $3.48 sale (reg $3.98); page lists 3 ct, box image reads NET WT 14.4 OZ (408g); Pickup - Omaha 17070 Audrey St; next cheapest Honey Maid Family Size 19.2 oz $6.48 = 0.3375/oz"
"D864EC63BA",3,"Black Olives (canned, ripe)","oz","Hy-Vee",wrong-price,"That's Smart! Large Pitted Ripe Olives","0.2917","6 oz | shelf $1.75 / 6 oz can; store shown Omaha #02, NE (hy-vee.com Aisles Online); next cheapest Pearls sliced ripe 5.6 oz $1.69 = 0.302/oz"
"6DE12EF6ED",4,"Salt Pork","lb","Baker's",ok,"Smithfield Salt Pork","5.99","12 oz | $4.49 shelf (no sale) for 12 oz = $5.987/lb; product page UPC 0007080008115; Baker's Pickup at Saddlecreek, 888 S Saddle Creek Rd, Omaha; only salt pork in results"
"0A882B45BA",5,"Toilet Bowl Cleaner","floz","Fareway",ok,"Clorox Toilet Bowl Cleaner, Clinging Bleach Gel, Ocean Mist","0.1238","24 fl oz | $2.97 sale (reg $3.99), page shows $0.12/fl oz; Pickup - Omaha; 2x24 fl oz $6.18 = 0.1288, Lysol 24 fl oz $2.99"
"45F7047006",6,"Cornstarch","oz","Aldi",ok,"Baker's Corner Corn Starch","0.1181","16 oz | $1.89 shelf, 16 oz read on product page; ALDI OLA 42 Omaha, In-Store mode shown in header; page unit $0.12/oz; only cornstarch result"
"7B1CD356A8",7,"Frozen Lasagna","oz","Sam's Club",ok,"Stouffer's Signature Lasagna with Meat Sauce, Frozen 96 oz.","0.1560","96 oz | $14.98 / 96 oz; club 13130 L St, pickup IN_STOCK; Giovanni Rana chicken alfredo lasagna 40 oz $13.82 dearer"
"21C5886348",8,"Brussels Sprouts","lb","Hy-Vee",wrong-product,"Brussels Sprouts (fresh loose)","3.49","per lb (sold by weight) | page shows $3.49/lb (35c ea. at 0.10 lb est.); Omaha #02, NE; fresh bagged Bud by Dole 12 oz $2.99 and 24 oz $5.99 both = 3.99/lb. FROZEN That's Smart! Brussels Sprouts 12 oz $1.29 = 1.72/lb is cheaper if frozen counts"
"43324A670C",9,"Dijon Mustard","oz","Fareway",ok,"Fareway Dijon Mustard","0.1567","12 oz | $1.88 sale (reg $2.99, sale ends in ~20 hrs), page shows $0.16/oz; Pickup - Omaha; Fareway stone ground dijon 12 oz also $1.88; Grey Poupon 10 oz $3.97"
"F636D6148D",10,"Coffee Creamer","floz","Aldi",wrong-product,"Barissimo French Vanilla Coffee Creamer","0.0841","32 fl oz | $2.69 shelf, 32 fl oz on product page (page unit $0.08/fl oz); ALDI OLA 42 Omaha, In-Store; several Barissimo 32 fl oz flavors tie at $2.69"
