# BLIND verification worklist for the 2026-08-08 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-08-08.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"53D1462274",1,"Garden Salad Blend (bagged)","oz","Fareway",,,,
"802ADB55AB",2,"Chili Powder","oz","Walmart",,,,
"E9DD97B6F3",3,"Canned Pasta (Ravioli / SpaghettiOs)","oz","Sam's Club",,,,
"66C7E06E7E",4,"Laundry Stain Remover","floz","Sam's Club",,,,
"9E46708FB8",5,"Energy Drinks","floz","Sam's Club",,,,
"535132E556",6,"Protein Bars","each","Family Fare",,,,
"5DEBBD3B58",7,"Medjool Dates","oz","Sam's Club",,,,
"A9682C4790",8,"Cream of Mushroom Soup","oz","Sam's Club",,,,
"58BBF9AD08",9,"Toilet Bowl Cleaner","floz","Hy-Vee",,,,
"B4C7861F05",10,"Nectarines","lb","Baker's",,,,
"27C1EC1E18",11,"Taco Seasoning (packet)","oz","Family Fare",,,,
"30E86A5915",12,"Beef Jerky","oz","Sam's Club",,,,
"3E173A4DC1",13,"Egg Noodles","oz","Sam's Club",,,,
"06529930E3",14,"Floor Cleaner","floz","Sam's Club",,,,
"2DF21A11AF",15,"Cottage Cheese","oz","Baker's",,,,
"643EA3C603",16,"Pretzels","oz","Fareway",,,,
"3ADE5B1DEF",17,"Thyme (dried)","oz","Sam's Club",,,,
"1583949A8B",18,"Paper Plates","each","Walmart",,,,
"8E90E6E2FB",19,"Iced Tea (bottled/gallon)","floz","Walmart",,,,
"7EF91645E3",20,"Shampoo","floz","Hy-Vee",,,,
"BE91E86E5F",21,"Bread (loaf)","each","Fareway",,,,
"81AAB21B83",22,"Tomatillos (fresh)","lb","Fareway",,,,
"239EA18CC7",23,"Muffins (bakery)","each","Walmart",,,,
"E88CAD1131",24,"Raspberries","oz","Fareway",,,,
"FD0327F571",25,"Raisins","oz","Walmart",,,,
"F53AF4332E",26,"Tomatoes (fresh)","lb","Aldi",,,,
"B253C54413",27,"Canned Black Beans","oz","Family Fare",,,,
"4F11034F3E",28,"Tortilla Chips","oz","Walmart",,,,
"D0DB21A43D",29,"Hand Sanitizer","floz","Sam's Club",,,,
"3602756963",30,"Frozen Burritos","each","Aldi",,,,
"65A12F5228",31,"Sesame Seeds","oz","Sam's Club",,,,
"E498D57D33",32,"Yellow / Yukon Gold Potatoes","lb","Sam's Club",,,,
"CCCB72B591",33,"Fresh Rhubarb","lb","Fareway",,,,
"1B72DE95D6",34,"Laundry Stain Remover","floz","Walmart",,,,
"D993A3C519",35,"Fennel Seed / Ground Fennel","oz","Family Fare",,,,
"24EE40431A",36,"Canned Peas","oz","Fareway",,,,
"6559532C0A",37,"Garlic Powder","oz","Walmart",,,,
"86F3FA63A2",38,"Mini Sweet Peppers","oz","Baker's",,,,
"ED5E4E7589",39,"Donuts","each","Aldi",,,,
"B7327CD7D8",40,"Pita Bread","each","Family Fare",,,,
"42EF303012",41,"Canned Pumpkin (100% puree)","oz","Sam's Club",,,,
"EB74511E66",42,"Sweetened Condensed Milk","oz","Walmart",,,,
"BAFB8A1769",43,"Parchment Paper","each","Fareway",,,,
"0552EF9B43",44,"Frozen Fruit / Berries","oz","Sam's Club",,,,
"2B92362166",45,"Garlic (fresh)","each","Baker's",,,,
"E44A10C198",46,"Oat Milk","floz","Aldi",,,,
"3A39978065",47,"Baked Beans","oz","Hy-Vee",,,,
"5F277699A8",48,"Prunes / Dried Plums","oz","Aldi",,,,
"140414F657",49,"Vanilla Extract","floz","Sam's Club",,,,
"02D6722D53",50,"Mayonnaise","oz","Aldi",,,,
"FAF111D7D4",51,"Deodorant","oz","Family Fare",,,,
"6B90307BAD",52,"Coffee (ground/beans)","oz","Baker's",,,,
"48E8FFAE0E",53,"Ramen Noodles","each","Walmart",,,,
"FE257B7670",54,"Mouthwash","floz","Walmart",,,,
"D4FAEE4569",55,"Asparagus","lb","Hy-Vee",,,,
"E7820D20EB",56,"Yellow Mustard","oz","Aldi",,,,
"1FEF6B7407",57,"Syrup (pancake / maple)","floz","Walmart",,,,
"87CBBE539D",58,"Peanut Butter","oz","Fareway",,,,
"C30F21CB4D",59,"Disinfectant Spray","oz","Hy-Vee",,,,
"229CA0DA09",60,"Frozen Pizza","each","Fareway",,,,
"47EF9066FE",61,"Dish Sponges","each","Walmart",,,,
"9E4EE82B63",62,"Red Pepper Flakes","oz","Hy-Vee",,,,
"03AAF32F05",63,"Grape Juice","floz","Aldi",,,,
"6839BC38AE",64,"Acorn Squash","lb","Hy-Vee",,,,
"0EAB6E7B43",65,"Canned Diced Tomatoes","oz","Sam's Club",,,,
"C96DCCFA61",66,"Ranch Dressing","floz","Walmart",,,,
"00A055C3DE",67,"Cranberry Juice","floz","Aldi",,,,
"0A02217A7A",68,"Vegetable Broth / Stock","floz","Walmart",,,,
"043510F0CD",69,"Clementines / Mandarins","lb","Aldi",,,,
"AD60F99BF3",70,"Corn Chips (Fritos class)","oz","Aldi",,,,
"839FBA1AE3",71,"All-Purpose Flour","lb","Sam's Club",,,,
"94FEF4AC89",72,"Ham (deli / sliced)","oz","Sam's Club",,,,
"6493413440",73,"Sun-Dried Tomatoes","oz","Family Fare",,,,
"0316659340",74,"Steak Sauce (A.1. style)","floz","Aldi",,,,
"28E505026A",75,"Brown Sugar","lb","Aldi",,,,
"F9E953400F",76,"Feta Cheese","oz","Walmart",,,,
"67CFC4821A",77,"Coleslaw Mix","oz","Sam's Club",,,,
"B106317542",78,"Sloppy Joe Sauce (Manwich style)","oz","Family Fare",,,,
"E3B5EDA8C5",79,"Food Storage Bags (quart)","each","Aldi",,,,
"BF3396F5F7",80,"Blackberries","oz","Fareway",,,,
"F35122ACDF",81,"Cucumbers","each","Aldi",,,,
"00F1235EB8",82,"Italian Dressing","floz","Sam's Club",,,,
"5F4B6E79CC",83,"Ranch Seasoning Mix (packet)","oz","Walmart",,,,
"299CD0CF6A",84,"Sugar Snap Peas","oz","Walmart",,,,
"A6EA67F60F",85,"Frozen Breakfast Sandwiches","each","Sam's Club",,,,
"4F85BEBADD",86,"Corn Muffin Mix","oz","Sam's Club",,,,
"1F91860448",87,"Dijon Mustard","oz","Walmart",,,,
"92A019B19C",88,"Asparagus","lb","Walmart",,,,
"A11200BE90",89,"Bagels","each","Family Fare",,,,
"82AB38C4C7",90,"Spring Mix Salad Greens","oz","Family Fare",,,,
"A6887344DC",91,"Egg Noodles","oz","Fareway",,,,
"232ABE7372",92,"Pudding Cups","each","Sam's Club",,,,
"C5B62FB908",93,"Apple Cider Vinegar","floz","Fareway",,,,
"64AD477598",94,"Horseradish Sauce (creamy)","oz","Hy-Vee",,,,
"C75E652E97",95,"Shrimp (frozen, raw)","lb","Hy-Vee",,,,
"4830F4E339",96,"Diced / Cubed Ham","oz","Walmart",,,,
"803521DC0C",97,"Brussels Sprouts","lb","Walmart",,,,
"05B923EE1E",98,"Oregano (dried)","oz","Aldi",,,,
"DF293B6EE7",99,"Vegetable / Vegetable Beef Soup (canned)","oz","Baker's",,,,
"53168453AB",100,"Curry Powder","oz","Sam's Club",,,,
