id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
cooked-shredded-chicken,Cooked Shredded Chicken,oz,,,,,,0.4369,,,,0.4369,0.8317,,,,0.8317,,,,,,0.6869,,,,0.6869,,,,,,,,,,
cheddar-cheese-curds,Cheddar cheese curds,oz,,,,,,0.3575,,,,0.3575,0.6242,,,,0.6242,,,,,,0.798,,,,0.798,,,,,,0.788,,,,0.788
lime-juice,Lime Juice (bottled),floz,,,,,,0.0684,,,,0.0684,0.2193,,,,0.2193,,,,,,0.1193,0.1667,2026-09-02,2026-10-20,0.1193,,,,,,0.158,,,,0.158
mandarin-oranges,Canned Mandarin Oranges,oz,,,,,,0.0993,,,,0.0993,,,,,,0.1527,,,,0.1527,0.1327,,,,0.1327,,,,,,0.1231,,,,0.1231
prunes,Prunes / Dried Plums,oz,,,,,,0.3328,,,,0.3328,0.4806,,,,0.4806,,,,,,0.3747,0.3328,2026-08-24,2026-10-18,0.3328,,,,,,0.1588,,,,0.1588
pineapple,Pineapple (whole),each,3.99,,,,3.99,1.89,,,,1.89,,,,,,,,,,,,,,,,,,,,,1.98,1.88,2026-09-05,2026-10-05,1.88
potato-gnocchi,Potato Gnocchi,oz,0.1869,,,,0.1869,0.1074,,,,0.1074,0.3119,,,,0.3119,0.2494,,,,0.2494,0.1869,,,,0.1869,,,,,,0.1642,,,,0.1642
gelatin,Gelatin (Jell-O),each,,,,,,0.98,,,,0.98,,,,,,,,,,,,,,,,,,,,,1.58,,,,1.58
fruit-punch,Fruit Punch,floz,0.0369,,,,0.0369,0.0303,,,,0.0303,0.0422,,,,0.0422,,,,,,0.0273,,,,0.0273,,,,,,0.0217,,,,0.0217
honey-mustard,Honey Mustard,oz,,,,,,0.1242,,,,0.1242,0.3893,,,,0.3893,,,,,,0.1575,,,,0.1575,,,,,,0.1475,,,,0.1475
dijon-mustard,Dijon Mustard,oz,0.2075,,,,0.2075,0.1242,,,,0.1242,0.1825,,,,0.1825,0.2492,,,,0.2492,0.1575,0.2933,2026-09-23,2026-09-29,0.1575,,,,,,0.1475,,,,0.1475
canned-pears,Canned Pears,oz,0.1993,0.1627,,,0.1627,0.1043,,,,0.1043,,,,,,,,,,,0.126,,,,0.126,,,,,,0.0959,,,,0.0959
horseradish,Prepared Horseradish,oz,,,,,,0.2989,,,,0.2989,0.4988,,,,0.4988,,,,,,0.3738,,,,0.3738,,,,,,0.3032,,,,0.3032
miracle-whip,Miracle Whip (Salad Dressing Spread),oz,,,,,,0.0963,,,,0.0963,0.233,,,,0.233,,,,,,,,,,,,,,,,,,,,
grape-juice,Grape Juice,floz,0.067,,,,0.067,0.0461,,,,0.0461,0.0623,,,,0.0623,0.0702,0.0622,2026-09-21,2026-09-26,0.0622,0.0514,,,,0.0514,,,,,,0.0464,,,,0.0464
sloppy-joe-sauce,Sloppy Joe Sauce (Manwich style),oz,0.0793,,,,0.0793,0.066,,,,0.066,0.1056,,,,0.1056,,,,,,0.0994,,,,0.0994,,,,,,0.0925,,,,0.0925
relish,Sweet Relish,oz,0.239,0.199,,,0.199,0.1056,,,,0.1056,0.199,,,,0.199,,,,,,0.1454,,,,0.1454,,,,,,0.155,0.172,2026-08-31,2026-09-30,0.155
blackberries,Blackberries,oz,,,,,,0.415,,,,0.415,0.6317,,,,0.6317,,,,,,0.4908,0.4167,2026-09-23,2026-09-29,0.4167,,,,,,0.4692,,,,0.4692
canned-green-chilies,Canned Diced Green Chilies,oz,,,,,,0.2125,,,,0.2125,0.2975,,,,0.2975,,,,,,0.2475,,,,0.2475,,,,,,0.25,,,,0.25
cilantro,Cilantro (bunch),each,0.99,,,,0.99,0.89,,,,0.89,0.99,,,,0.99,,,,,,0.99,,,,0.99,,,,,,,,,,
red-onion,Red Onions,lb,,,,,,1.095,,,,1.095,1.99,,,,1.99,,,,,,1.33,,,,1.33,,,,,,1.18,,,,1.18
garlic,Garlic (fresh),each,0.79,,,,0.79,0.4967,,,,0.4967,0.79,,,,0.79,0.6633,,,,0.6633,0.498,,,,0.498,,,,,,0.58,,,,0.58
shaving-cream,Shaving Cream,oz,,,,,,,,,,,0.3557,,,,0.3557,,,,,,0.299,,,,0.299,0.3733,,,,0.3733,0.198,,,,0.198
rice-cakes,Rice Cakes,oz,0.6102,,,,0.6102,0.4802,,,,0.4802,0.5662,,,,0.5662,,,,,,0.4558,0.875,2026-09-02,2026-10-13,0.4558,0.6225,,,,0.6225,0.467,,,,0.467
jalapenos,Jalapeno Peppers,lb,2.99,,,,2.99,1.98,,,,1.98,1.99,,,,1.99,1.99,,,,1.99,1.99,,,,1.99,,,,,,1.96,1.76,2026-08-31,2026-09-30,1.76
string-cheese,String Cheese,oz,,,,,,0.2575,,,,0.2575,0.3992,,,,0.3992,,,,,,0.229,,,,0.229,0.1973,,,,0.1973,0.2567,,,,0.2567
chili-beans,Chili Beans (in sauce),oz,,,,,,0.0594,,,,0.0594,0.0639,,,,0.0639,0.0865,0.0639,2026-09-20,2026-09-26,0.0639,0.0645,0.0568,2026-09-23,2026-09-29,0.0568,,,,,,0.0594,,,,0.0594
white-onion,White Onion,lb,,,,,,1.095,,,,1.095,1.39,,,,1.39,,,,,,1.2633,,,,1.2633,,,,,,1.1233,,,,1.1233
spring-mix,Spring Mix Salad Greens,oz,,,,,,0.1575,,,,0.1575,0.499,,,,0.499,,,,,,0.3125,,,,0.3125,,,,,,0.3488,,,,0.3488
mangoes,Mangoes,each,,,,,,1.09,,,,1.09,2.29,,,,2.29,,,,,,1,,,,1,,,,,,1.27,1,2026-09-05,2026-10-05,1
cabbage,Cabbage (green),lb,0.99,,,,0.99,0.79,,,,0.79,0.99,,,,0.99,,,,,,0.99,,,,0.99,,,,,,0.8801,,,,0.8801
butternut-squash,Butternut Squash,lb,,,,,,0.89,,,,0.89,1.99,,,,1.99,,,,,,1.49,,,,1.49,,,,,,1.54,,,,1.54
radishes,Radishes,oz,0.1556,,,,0.1556,0.1181,,,,0.1181,0.1869,,,,0.1869,,,,,,0.1244,,,,0.1244,,,,,,0.323,,,,0.323
sugar-snap-peas,Sugar Snap Peas,oz,,,,,,0.3113,,,,0.3113,,,,,,,,,,,0.4056,,,,0.4056,,,,,,0.3225,,,,0.3225
spaghetti-squash,Spaghetti Squash,lb,,,,,,0.89,,,,0.89,1.99,,,,1.99,,,,,,1.49,,,,1.49,,,,,,1.54,,,,1.54
fruit-cocktail,Canned Fruit Cocktail,oz,,,,,,0.1043,,,,0.1043,,,,,,0.1305,0.0944,2026-09-09,2026-10-09,0.0944,0.1097,,,,0.1097,,,,,,0.0927,,,,0.0927
sesame-oil,Sesame Oil (toasted),floz,,,,,,0.4432,,,,0.4432,1.078,,,,1.078,0.7887,,,,0.7887,0.6653,0.532,2026-09-09,2026-09-29,0.532,,,,,,0.5365,,,,0.5365
ground-pork,Ground Pork,lb,3.99,3.49,2026-09-21,2026-09-27,3.49,3.29,,,,3.29,4.49,,,,4.49,3.99,,,,3.99,6,,,,6,,,,,,3.9467,,,,3.9467
corn-muffin-mix,Corn Muffin Mix,oz,,,,,,0.0847,,,,0.0847,0.0882,,,,0.0882,0.0978,0.0841,2026-09-21,2026-09-26,0.0841,0.0929,0.1869,2026-09-16,2026-10-13,0.0929,,,,,,0.0906,,,,0.0906
vienna-sausage,Vienna sausage,oz,,,,,,0.1652,,,,0.1652,0.2587,,,,0.2587,,,,,,0.5413,,,,0.5413,,,,,,0.1756,,,,0.1756
cranberry-sauce,Cranberry Sauce (canned),oz,,,,,,0.1136,,,,0.1136,0.1993,,,,0.1993,0.1914,0.1771,2026-09-22,2026-09-26,0.1771,0.1421,,,,0.1421,,,,,,0.1229,,,,0.1229
canned-pineapple,Canned Pineapple,oz,,,,,,0.0825,,,,0.0825,,,,,,,,,,,0.0995,,,,0.0995,,,,,,0.084,0.111,2026-08-31,2026-09-30,0.084
oat-milk,Oat Milk,floz,0.0767,,,,0.0767,0.0545,,,,0.0545,0.067,,,,0.067,,,,,,0.0622,,,,0.0622,,,,,,0.0556,,,,0.0556
turkey-breast,Turkey Breast (raw),lb,,,,,,4.33,,,,4.33,11.99,,,,11.99,,,,,,4.9967,3.9967,2026-09-16,2026-10-13,3.9967,,,,,,4.8133,,,,4.8133
baking-soda,Baking Soda,oz,0.0744,,,,0.0744,0.0556,,,,0.0556,0.078,,,,0.078,,,,,,0.067,,,,0.067,,,,,,0.0512,,,,0.0512
baby-potatoes,Baby Potatoes,lb,,,,,,2.1933,,,,2.1933,3.3267,,,,3.3267,,,,,,2,,,,2,,,,,,2.52,,,,2.52
sauerkraut,Sauerkraut (canned/jarred),oz,,,,,,0.0579,,,,0.0579,0.1174,,,,0.1174,,,,,,0.0959,0.0716,2026-09-05,2026-10-13,0.0716,,,,,,0.0767,,,,0.0767
firm-tofu,Firm tofu,oz,,,,,,0.1064,,,,0.1064,,,,,,0.2136,,,,0.2136,0.1421,,,,0.1421,,,,,,0.1388,,,,0.1388
turkey-bacon,Turkey Bacon,oz,0.3325,,,,0.3325,0.349,,,,0.349,0.3325,,,,0.3325,,,,,,0.3325,,,,0.3325,,,,,,0.3267,,,,0.3267
coconut-milk-canned,Canned Coconut Milk,floz,,,,,,0.1164,,,,0.1164,,,,,,,,,,,0.1474,,,,0.1474,,,,,,0.1467,,,,0.1467
almond-flour,Almond Flour,lb,,,,,,6.65,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,
canned-salmon,Canned Salmon,oz,0.536,,,,0.536,0.2637,,,,0.2637,0.4061,,,,0.4061,,,,,,0.3044,,,,0.3044,,,,,,0.2556,,,,0.2556
canned-pinto-beans,Canned Pinto Beans,oz,0.066,,,,0.066,0.0548,,,,0.0548,0.0639,,,,0.0639,0.0687,0.0624,2026-09-17,2026-10-17,0.0624,0.0627,,,,0.0627,,,,,,0.0594,,,,0.0594
wild-rice-blend,Wild Rice Blend,lb,,,,,,5.054,,,,5.054,,,,,,,,,,,,,,,,,,,,,,,,,
canned-mixed-vegetables,Canned Mixed Vegetables,oz,,,,,,0.169,,,,0.169,,,,,,,,,,,0.0727,,,,0.0727,,,,,,0.064,,,,0.064
banana-peppers,Banana Peppers / Pepperoncini,oz,,,,,,0.1556,,,,0.1556,0.2056,,,,0.2056,,,,,,0.1872,,,,0.1872,,,,,,0.1475,,,,0.1475
clam-chowder,Clam Chowder (canned),oz,,,,,,0.1319,,,,0.1319,,,,,,,,,,,0.159,,,,0.159,,,,,,0.3606,0.2445,2026-08-31,2026-09-30,0.2445
ranch-seasoning-mix,Ranch Seasoning Mix (packet),oz,,,,,,0.55,,,,0.55,0.7054,,,,0.7054,1.49,,,,1.49,0.6725,,,,0.6725,,,,,,0.5425,,,,0.5425
portobello-mushrooms,Portobello Mushrooms,lb,,,,,,6.64,,,,6.64,,,,,,,,,,,,,,,,,,,,,8.32,,,,8.32
